Probe	UNQ	Reference	Name	Description	Category	Highest Immune Level	Immune/Non-Immune Ratio
234326_at	UNQ14711	LL:146268	KIAA0615	hypothetical protein FLJ31821	Multiple	3279	16.82
212577_at	UNQ14438	LL:23347	KIAA0650	KIAA0650 protein	Multiple	4804	9.33
212579_at	UNQ14438	LL:23347	KIAA0650	KIAA0650 protein	Multiple	3864	9.66
212569_at	UNQ14438	LL:23347	KIAA0650	KIAA0650 protein	Multiple	2775	10.47
212314_at	UNQ5094	AB018289	KIAA0746		B Cell	10849	4.06
212311_at	UNQ5094	AB018289	KIAA0746		B Cell	9888	5.78
235353_at	UNQ5094	AB018289	KIAA0746		B Cell	2332	5.02
227356_at	UNQ9075	AB018322	KIAA0779		Neutrophil	9035	4.99
36888_at	UNQ16664	LL:23354	KIAA0841	KIAA0841 protein	Multiple	3491	3.42
239413_at	UNQ21681	LL:22995	KIAA0912	KIAA0912 protein	Multiple	2008	4.56
212421_at	UNQ16768	LL:23313	KIAA0930	KIAA0930 protein	Myeloid	2538	4.34
225597_at	UNQ11477	LL:57210	KIAA1126	KIAA1126 protein	Neutrophil	3628	3.82
223429_x_at	UNQ16559	LL:57461	KIAA1160	KIAA1160 protein	Multiple	3637	3.73
229354_at	UNQ11678	AB033060	KIAA1234		Multiple	9651	15.2
235157_at	UNQ21802	LL:54625	KIAA1268	KIAA1268 protein	Multiple	2473	4.46
223254_s_at	UNQ17293	LL:55632	KIAA1333	KIAA1333	Multiple	2407	11.46
227454_at	UNQ3757	LL:57551	KIAA1361	serine/threonine protein kinase TAO1 homolog	Multiple	5384	6.37
225847_at	UNQ11715	LL:57552	KIAA1363	KIAA1363 protein	Myeloid	9471	7.8
228377_at	UNQ17523	LL:57565	KIAA1384	KIAA1384 protein	B Cell	18610	28.41
225076_s_at	UNQ14287	LL:57169	KIAA1404	KIAA1404 protein	Dendritic Cell	17217	5.64
204220_at	UNQ9179	LL:57622	KIAA1484	KIAA1484 protein	Multiple	13477	10.29
227228_s_at	UNQ17086	LL:57641	KIAA1509	KIAA1509	Lymphocyte	5412	4.63
224807_at	UNQ6419	LL:57655	KIAA1533	KIAA1533 protein	Myeloid	6006	3.81
227624_at	UNQ16564	LL:57667	KIAA1546	KIAA1546 protein	Myeloid	4271	4.09
225929_s_at	UNQ11908	LL:57674	KIAA1554	KIAA1554 protein	Multiple	21436	9.3
230000_at	UNQ11908	LL:57674	KIAA1554	KIAA1554 protein	Multiple	9846	13.22
225931_s_at	UNQ11908	LL:57674	KIAA1554	KIAA1554 protein	Multiple	9167	8.86
231956_at	UNQ11908	LL:57674	KIAA1554	KIAA1554 protein	Multiple	6034	9.81
241347_at	UNQ11908	LL:57674	KIAA1554	KIAA1554 protein	Multiple	4383	5.88
231899_at	UNQ17537	LL:85463	KIAA1726	KIAA1726 protein	Multiple	5676	6.24
242665_at	UNQ8623	AB067489	KIAA1902		Myeloid	2370	3.62
224927_at	UNQ16575	LL:170954	KIAA1949	KIAA1949 protein	Multiple	22784	6.66
228953_at	UNQ13527	LL:123720	KIAA1971	similar to junction-mediating and regulatory protein p300 JMY	Multiple	2216	4.18
220368_s_at	UNQ8446	LL:55671	KIAA2010	KIAA2010	Lymphocyte	2057	4.67
227433_at	UNQ16311	LL:205717	KIAA2018	similar to K06A9.1b.p	Multiple	2674	3.5
232687_at	UNQ18305	LL:285513	KIAA2027	hypothetical protein LOC285513	Multiple	2574	3.84
236641_at	UNQ14767	LL:9928	KIF14	kinesin family member 14	T Cell	2354	11.21
203087_s_at	UNQ7688	LL:3796	KIF2	kinesin heavy chain member 2	Multiple	3256	4.59
209408_at	UNQ14201	LL:11004	KIF2C	kinesin family member 2C	Lymphocyte	2093	4.55
207314_x_at	UNQ1291	LL:3802	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	Lymphocyte	2619	24.94
216907_x_at	UNQ1291	LL:3802	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	Lymphocyte	2417	10.07
207313_x_at	UNQ1291	LL:3802	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	NK Cell	2143	7.52
211688_x_at	UNQ1291	LL:3802	KIR2DL1	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 1"	NK Cell	2076	31.94
211397_x_at	UNQ1287	LL:3803	KIR2DL2	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 2"	NK Cell	2255	12.89
208426_x_at	UNQ9058	LL:3805	KIR2DL4	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"	NK Cell	2831	8.58
211245_x_at	UNQ9058	LL:3805	KIR2DL4	"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 4"	NK Cell	2445	9.06
211410_x_at	UNQ1293	LL:3807	KIR2DS2	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"	NK Cell	2356	4.21
208198_x_at	UNQ1293	LL:3807	KIR2DS2	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"	NK Cell	2312	7.11
211532_x_at	UNQ1292	LL:3810	KIR2DS5	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5"	NK Cell	2891	82.6
208203_x_at	UNQ1292	LL:3810	KIR2DS5	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5"	NK Cell	2214	11.97
211687_x_at	UNQ1290	LL:3811	KIR3DL1	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"	NK Cell	2558	12.18
216676_x_at	UNQ1289	LL:3812	KIR3DL2	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"	NK Cell	2277	30.36
208179_x_at	UNQ1289	LL:3812	KIR3DL2	"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"	NK Cell	2041	8.69
211389_x_at	UNQ1286	LL:3813	KIR3DS1	"killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1"	NK Cell	2722	12.37
227740_at	UNQ16449	LL:127933	KIS	kinase interacting with leukemia-associated gene (stathmin)	Multiple	8924	7.28
235003_at	UNQ16449	LL:127933	KIS	kinase interacting with leukemia-associated gene (stathmin)	Multiple	5329	8.33
229881_at	UNQ17134	LL:11278	KLF12	Kruppel-like factor 12	Lymphocyte	2125	9.66
228167_at	UNQ14929	LL:89857	KLHL6	kelch-like 6 (Drosophila)	Multiple	3269	3.87
218883_s_at	UNQ13545	LL:79682	KLIP1	KSHV latent nuclear antigen interacting protein 1	Lymphocyte	2401	5.22
214470_at	UNQ5388	LL:3820	KLRB1	"killer cell lectin-like receptor subfamily B, member 1"	Lymphocyte	12173	10.68
206785_s_at	UNQ2206	LL:3823	KLRC3	"killer cell lectin-like receptor subfamily C, member 3"	Lymphocyte	5337	59.3
205821_at	UNQ2226	LL:8302	KLRC4	"killer cell lectin-like receptor subfamily C, member 4"	Lymphocyte	8681	17.72
210606_x_at	UNQ8304	LL:3824	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"	Lymphocyte	9577	33.02
207795_s_at	UNQ8304	LL:3824	KLRD1	"killer cell lectin-like receptor subfamily D, member 1"	Lymphocyte	7105	23.68
220646_s_at	UNQ11841	LL:51348	KLRF1	"killer cell lectin-like receptor subfamily F, member 1"	NK Cell	9727	48.63
210288_at	UNQ8262	LL:10219	KLRG1	"killer cell lectin-like receptor subfamily G, member 1"	Lymphocyte	3303	4.82
211762_s_at	UNQ11423	LL:3838	KPNA2	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"	Multiple	5079	4.72
201088_at	UNQ11423	LL:3838	KPNA2	"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"	Multiple	3960	4.12
213507_s_at	UNQ5657	LL:3837	KPNB1	karyopherin (importin) beta 1	Multiple	12641	4.31
208974_x_at	UNQ5657	LL:3837	KPNB1	karyopherin (importin) beta 1	Multiple	7885	5.04
208975_s_at	UNQ5657	LL:3837	KPNB1	karyopherin (importin) beta 1	Multiple	2095	3.55
214352_s_at	UNQ2105	LL:3845	KRAS2	v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog	Multiple	5616	5.97
218963_s_at	UNQ21254	LL:25984	KRT23	keratin 23 (histone deacetylase inducible)	Neutrophil	3797	3.8
223836_at	UNQ425	LL:83888	KSP37	Ksp37 protein	Lymphocyte	28075	31.9
217388_s_at	UNQ14480	LL:8942	KYNU	kynureninase (L-kynurenine hydrolase)	Myeloid	15439	9.99
210663_s_at	UNQ14480	LL:8942	KYNU	kynureninase (L-kynurenine hydrolase)	Myeloid	9128	12.34
204385_at	UNQ14480	LL:8942	KYNU	kynureninase (L-kynurenine hydrolase)	Myeloid	8903	8.02
226354_at	UNQ843	LL:114294	LACTB	"lactamase, beta"	Myeloid	14177	6.7
206486_at	UNQ1252	LL:3902	LAG3	lymphocyte-activation gene 3	T Cell	3905	21.69
227438_at	UNQ17727	LL:80216	LAK	lymphocyte alpha-kinase	Myeloid	3682	7.75
201551_s_at	UNQ1705	LL:3916	LAMP1	lysosomal-associated membrane protein 1	Myeloid	8317	5.88
229128_s_at	UNQ17153	LL:81611	LANPL	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"	Multiple	14109	9.8
224944_at	UNQ4122	LL:7112	LAP2	thymopoietin	Multiple	14064	5.58
209754_s_at	UNQ4122	LL:7112	LAP2	thymopoietin	Lymphocyte	2188	11.83
209753_s_at	UNQ4122	LL:7112	LAP2	thymopoietin	Lymphocyte	2111	4.54
203432_at	UNQ4122	LL:7112	LAP2	thymopoietin	Lymphocyte	2035	4.28
201720_s_at	UNQ4961	LL:7805	LAPTM5	Lysosomal-associated multispanning membrane protein-5	Multiple	12913	3.83
211005_at	UNQ5056	LL:27040	LAT	linker for activation of T cells	Multiple	3989	12.27
209881_s_at	UNQ5056	LL:27040	LAT	linker for activation of T cells	Multiple	2619	23.81
204891_s_at	UNQ2230	LL:3932	LCK	lymphocyte-specific protein tyrosine kinase	Lymphocyte	11654	31.93
204890_s_at	UNQ2230	LL:3932	LCK	lymphocyte-specific protein tyrosine kinase	Lymphocyte	6176	23.75
208885_at	UNQ10581	LL:3936	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	Multiple	14286	6.29
205270_s_at	UNQ7800	LL:3937	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	Multiple	4443	5.96
205269_at	UNQ7800	LL:3937	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	Multiple	2848	8.5
244598_at	UNQ7800	LL:3937	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	Multiple	3349	7.7
244556_at	UNQ7800	LL:3937	LCP2	lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	Multiple	2487	7.9
207277_at	UNQ431	AY358431	Lectin		Dendritic Cell	4282	7.26
221558_s_at	UNQ7985	LL:51176	LEF1	lymphoid enhancer-binding factor 1	T Cell	9581	31.41
209179_s_at	UNQ5555	LL:79143	LENG4	leukocyte receptor cluster (LRC) member 4	Neutrophil	5950	6.47
218132_s_at	UNQ18029	LL:79042	LENG5	leukocyte receptor cluster (LRC) member 5	Neutrophil	6929	4.91
202595_s_at	UNQ577	LL:23484	LEPROTL1	leptin receptor overlapping transcript-like 1	T Cell	6816	8.02
201593_s_at	UNQ8379	LL:55854	LEREPO4	"likely ortholog of mouse immediate early response, erythropoietin 4"	Multiple	4670	4.38
230383_x_at	UNQ9330	AA302850	LFIO9330		Lymphocyte	5589	7.35
228762_at	UNQ6862	LL:3955	LFNG	lunatic fringe homolog (Drosophila)	Multiple	6513	7.28
205266_at	UNQ359	LL:3976	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	Lymphocyte	3100	6.14
211101_x_at	UNQ5486	LL:11024	LILRA1	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"	Myeloid	5957	17.78
211100_x_at	UNQ5486	LL:11024	LILRA1	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"	Myeloid	5553	13.88
210660_at	UNQ16009	LL:11024	LILRA1	"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"	Myeloid	2219	19.3
229937_x_at	UNQ16008	LL:10859	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	Multiple	7031	14.65
207857_at	UNQ5486	LL:10859	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	Myeloid	4711	22.43
211336_x_at	UNQ16008	LL:10859	LILRB1	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1"	Myeloid	2031	5.8
207697_x_at	UNQ2038	LL:10288	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	Myeloid	5858	11.96
210146_x_at	UNQ2038	LL:10288	LILRB2	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"	Myeloid	3280	13.96
210784_x_at	UNQ11907	LL:11025	LILRB3	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	Myeloid	5236	17.17
210225_x_at	UNQ11907	LL:11025	LILRB3	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	Myeloid	4934	15.18
211135_x_at	UNQ11907	LL:11025	LILRB3	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	Myeloid	4922	15.38
211133_x_at	UNQ11907	LL:11025	LILRB3	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	Myeloid	4351	9.16
208594_x_at	UNQ11907	LL:11025	LILRB3	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3"	Myeloid	4112	10.97
212687_at	UNQ16248	LL:3987	LIMS1	LIM and senescent cell antigen-like domains 1	Myeloid	7985	4.62
207198_s_at	UNQ16248	LL:3987	LIMS1	LIM and senescent cell antigen-like domains 1	Multiple	5165	7.95
235060_at	UNQ13927	LL:23049	LIPK	PI-3-kinase-related kinase SMG-1	Multiple	4515	5.28
200706_s_at	UNQ4132	LL:9516	LITAF	lipopolysaccharide-induced TNF factor	Myeloid	21164	8.78
233500_x_at	UNQ723	LL:29121	LLT1	lectin-like NK cell receptor	Multiple	7114	40.65
235522_at	UNQ723	LL:29121	LLT1	lectin-like NK cell receptor	Multiple	2808	7.29
203320_at	UNQ14089	LL:10019	LNK	lymphocyte adaptor protein	Multiple	3156	3.67
219079_at	UNQ16447	LL:114139	LOC114139	hypothetical protein LOC114139	Multiple	2868	6.52
236027_at	UNQ16436	LL:119392	LOC119392	LOC119392	Multiple	2365	3.4
226329_s_at	UNQ16973	LL:129531	LOC129531	hypothetical protein BC018453	Multiple	4331	5.41
226702_at	UNQ17068	LL:129607	LOC129607	hypothetical protein LOC129607	Myeloid	21471	5.64
235177_at	UNQ18887	LL:151194	LOC151194	similar to hepatocellular carcinoma-associated antigen HCA557b	Multiple	2529	5.44
225415_at	UNQ16254	LL:151636	LOC151636	rhysin 2	Multiple	13626	3.53
227599_at	UNQ17067	LL:151963	LOC151963	similar to BcDNA:GH11415 gene product	Multiple	5762	3.47
225956_at	UNQ8451	LL:153222	LOC153222	adult retina protein	Multiple	6414	4.25
238476_at	UNQ8451	LL:153222	LOC153222	adult retina protein	Myeloid	3310	3.76
227514_at	UNQ16240	LL:162073	LOC162073	hypothetical protein LOC162073	Myeloid	4215	6.2
227954_at	UNQ16240	LL:162073	LOC162073	hypothetical protein LOC162073	Multiple	2451	6.81
227747_at	UNQ2966	LL:196264	LOC196264	hypothetical protein LOC196264	Multiple	4377	4.95
227853_at	UNQ12593	LL:196463	LOC196463		Myeloid	8273	4.38
230753_at	UNQ17765	LL:197135	LOC197135	similar to RIKEN cDNA 4930424G05	Lymphocyte	3351	13.4
222443_s_at	UNQ22947	LL:200030	LOC200030		Multiple	8851	3.42
235088_at	UNQ30651	LL:201725	LOC201725	hypothetical protein LOC201725	Multiple	2698	8.57
224751_at	UNQ28802	XM_114555	LOC202786		Multiple	6178	4.88
227129_x_at	UNQ22426	XM_088106	LOC202908		Myeloid	17193	6.76
231035_s_at	UNQ16971	LL:220213	LOC220213	hypothetical protein LOC220213	B Cell	9290	10.21
238342_at	UNQ8687	LL:23117	LOC23117	KIAA0220 protein	Multiple	2107	3.94
235463_s_at	UNQ12303	LL:253782	LOC253782	hypothetical protein LOC253782	Dendritic Cell	6400	6.77
225231_at	UNQ18477	LL:283153	LOC283153	hypothetical protein LOC283153	Multiple	5867	4.46
225234_at	UNQ18477	LL:283153	LOC283153	hypothetical protein LOC283153	Multiple	5199	3.94
235709_at	UNQ16301	LL:283431	LOC283431	hypothetical protein LOC283431	Myeloid	2936	15.45
238756_at	UNQ16301	LL:283431	LOC283431	hypothetical protein LOC283431	Myeloid	3085	5.18
225879_at	UNQ27342	LL:283989	LOC283989	hypothetical protein LOC283989	Lymphocyte	5110	3.72
226901_at	UNQ27325	LL:284018	LOC284018	hypothetical protein LOC284018	Dendritic Cell	6394	4
227749_at	UNQ11028	LL:284336	LOC284336	hypothetical protein LOC284336	Multiple	3131	4.57
228343_at	UNQ11028	LL:284336	LOC284336	hypothetical protein LOC284336	Multiple	2609	13.73
235661_at	UNQ11028	LL:284336	LOC284336	hypothetical protein LOC284336	Multiple	2222	4.78
232504_at	UNQ17801	LL:285628	LOC285628	hypothetical protein LOC285628	Multiple	3856	27.54
229958_at	UNQ18522	LL:286088	LOC286088	"similar to TBP-associated factor 15 isoform 1; TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68 kD; TATA box-binding protein-associated factor 2N (RNA-binding protein 56); TATA box binding protein (TBP)-associated facto..."	Myeloid	2278	3.5
227017_at	UNQ18841	LL:286163	LOC286163	hypothetical protein LOC286163	Multiple	5557	6.42
225899_x_at	UNQ23896	XM_290927	LOC339493		Myeloid	19452	7.7
238365_s_at	UNQ18891	LL:339541	LOC339541	hypothetical LOC339541	Multiple	2735	7.39
242520_s_at	UNQ18891	LL:339541	LOC339541	hypothetical LOC339541	Multiple	2102	21.02
225659_at	UNQ22009	LL:339745	LOC339745	hypothetical protein LOC339745	Myeloid	2596	3.74
240287_at	UNQ7005	LL:341720	LOC341720	similar to immune-responsive gene 1	Multiple	10771	13.99
231241_at	UNQ27223	LL:342616	LOC342616	similar to TAF5L protein	Lymphocyte	2152	4.22
225686_at	UNQ18890	LL:348235	LOC348235	hypothetical protein LOC348235	Lymphocyte	3020	5.25
223325_at	UNQ17930	LL:51061	LOC51061	hypothetical protein LOC51061	B Cell	11911	5.75
240118_at	UNQ17930	LL:51061	LOC51061	hypothetical protein LOC51061	B Cell	4211	27.17
223491_at	UNQ18839	LL:51122	LOC51122	HSPC042 protein	Multiple	2501	6.33
218247_s_at	UNQ17271	LL:51320	LOC51320	hypothetical protein LOC51320	Lymphocyte	2616	6.3
226633_at	UNQ17017	LL:51762	LOC51762	RAB-8b protein	Multiple	17157	6.62
222846_at	UNQ17017	LL:51762	LOC51762	RAB-8b protein	Multiple	11011	14.58
219210_s_at	UNQ17017	LL:51762	LOC51762	RAB-8b protein	Multiple	5456	18.81
213142_x_at	UNQ16895	LL:54103	LOC54103		Multiple	5261	3.69
225045_at	UNQ16792	LL:55580	LOC55580	hypothetical protein LOC55580	Myeloid	6374	4.4
214714_at	UNQ3775	LL:56854	LOC56854	hypothetical protein MPMGp800M05499Q3	Lymphocyte	2541	5.98
211697_x_at	UNQ16878	LL:56902	LOC56902	putatative 28 kDa protein	Multiple	6149	7.11
203622_s_at	UNQ16878	LL:56902	LOC56902	putatative 28 kDa protein	Lymphocyte	2317	3.93
225282_at	UNQ16852	LL:64744	LOC64744	hypothetical protein AL133206	Multiple	18690	8.14
244357_at	UNQ16852	LL:64744	LOC64744	hypothetical protein AL133206	Multiple	4250	6.8
226641_at	UNQ21262	LL:91526	LOC91526	hypothetical protein DKFZp434D2328	Multiple	5187	5.93
228471_at	UNQ21262	LL:91526	LOC91526	hypothetical protein DKFZp434D2328	Multiple	3176	5.94
225283_at	UNQ21691	LL:91947	LOC91947	hypothetical protein LOC91947	Myeloid	17651	6.04
213315_x_at	UNQ11709	LL:91966	LOC91966	hypothetical protein LOC91966	Multiple	4827	4.27
212961_x_at	UNQ11709	LL:91966	LOC91966	hypothetical protein LOC91966	Multiple	4044	3.76
214112_s_at	UNQ11709	LL:91966	LOC91966	hypothetical protein LOC91966	Multiple	3773	4.12
41387_r_at	UNQ17018	LL:92162	LOC92162	similar to RIKEN cDNA 2600017H02	Myeloid	2605	3.54
224846_at	UNQ16665	LL:92799	LOC92799	hypothetical protein BC007653	Multiple	4761	7.05
232593_at	UNQ22699	LL:93082	LOC93082	hypothetical protein BC012317	Dendritic Cell	9041	4.72
216250_s_at	UNQ13655	LL:9404	LPXN	leupaxin	Multiple	6531	4.31
35974_at	UNQ2312	LL:4033	LRMP	lymphoid-restricted membrane protein	Multiple	2501	6.76
227252_at	UNQ389	LL:26020	LRP10	low density lipoprotein receptor-related protein 10	Myeloid	4326	4.83
231861_at	UNQ389	LL:26020	LRP10	low density lipoprotein receptor-related protein 10	Myeloid	3777	8.89
227391_x_at	UNQ9880	LL:9208	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	Multiple	13286	4.4
201862_s_at	UNQ9880	LL:9208	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	Multiple	5118	3.49
201861_s_at	UNQ9880	LL:9208	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	Multiple	3794	5.84
238534_at	UNQ9880	LL:9208	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	Monocyte	3083	3.48
209840_s_at	UNQ194	LL:54674	LRRN3	leucine rich repeat neuronal 3	T Cell	2375	4.4
90610_at	UNQ12074	LL:4034	LRRN4	leucine rich repeat neuronal 4	Multiple	3461	5.37
203523_at	UNQ9922	LL:4046	LSP1	lymphocyte-specific protein 1	Multiple	7718	13.42
214574_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	13610	10.98
214181_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	12983	16.03
215633_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	12626	15.03
211582_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	12008	11.49
210629_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	10852	10.8
211581_x_at	UNQ4381	LL:7940	LST1	leukocyte specific transcript 1	Myeloid	8679	12.14
206975_at	UNQ7	LL:4049	LTA	"lymphotoxin alpha (TNF superfamily, member 1)"	Lymphocyte	7856	157.12
207339_s_at	UNQ898	LL:4050	LTB	"lymphotoxin beta (TNF superfamily, member 3)"	Multiple	25431	61.28
236172_at	UNQ8383	LL:1241	LTB4R	leukotriene B4 receptor	Myeloid	4128	6.45
243852_at	UNQ18375	LL:51631	LUC7L2	LUC7-like 2 (S. cerevisiae)	Multiple	2112	3.46
205668_at	UNQ8892	LL:4065	LY75	lymphocyte antigen 75	Multiple	5926	8.91
231124_x_at	UNQ8967	LL:4063	LY9	lymphocyte antigen 9	Lymphocyte	7242	20.4
206584_at	UNQ5834	LL:23643	LY96	lymphocyte antigen 96	Multiple	6621	7.4
223413_s_at	UNQ16843	LL:55646	LYAR	hypothetical protein FLJ20425	Lymphocyte	5807	13.83
202626_s_at	UNQ2034	LL:4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Myeloid	18193	18.56
210754_s_at	UNQ2034	LL:4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Myeloid	17102	18
202625_at	UNQ2034	LL:4067	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog	Myeloid	9336	12.88
212251_at	UNQ16392	LL:92140	LYRIC	LYRIC/3D3	Multiple	6042	4.48
212250_at	UNQ16392	LL:92140	LYRIC	LYRIC/3D3	Multiple	4345	5.14
212248_at	UNQ16392	LL:92140	LYRIC	LYRIC/3D3	Multiple	3963	4.45
233936_s_at	UNQ16986	LL:79893	LZK1	C3HC4-type zinc finger protein	Multiple	4373	4.51
222632_s_at	UNQ20644	LL:54585	LZTFL1	leucine zipper transcription factor-like 1	B Cell	2420	3.61
200900_s_at	UNQ1277	LL:4074	M6PR	mannose-6-phosphate receptor (cation dependent)	Multiple	5801	9.67
206877_at	UNQ13883	LL:4084	MAD	MAX dimerization protein 1	Neutrophil	2436	22.15
203362_s_at	UNQ7467	LL:4085	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	Lymphocyte	2891	9.97
229327_s_at	UNQ4576	LL:4094	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	Multiple	3139	3.85
222670_s_at	UNQ14210	LL:9935	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	Myeloid	22298	7.84
218559_s_at	UNQ14210	LL:9935	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	Myeloid	6556	3.8
36711_at	UNQ10865	LL:23764	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	Myeloid	7428	3.45
222393_s_at	UNQ16722	LL:80218	MAK3P	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	Multiple	5391	3.48
217745_s_at	UNQ16722	LL:80218	MAK3P	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	Multiple	3476	3.48
231199_at	UNQ16722	LL:80218	MAK3P	likely ortholog of mouse Mak3p homolog (S. cerevisiae)	Multiple	2302	5.29
208116_s_at	UNQ7019	LL:4121	MAN1A1	"mannosidase, alpha, class 1A, member 1"	B Cell	4498	7.69
205105_at	UNQ15238	LL:4124	MAN2A1	"mannosidase, alpha, class 2A, member 1"	Multiple	3382	4.42
222805_at	UNQ20121	LL:79694	MANEA	"mannosidase, endo-alpha"	B Cell	4090	3.72
216199_s_at	UNQ13766	LL:4216	MAP3K4	mitogen-activated protein kinase kinase kinase 4	Myeloid	3632	4.1
204089_x_at	UNQ13766	LL:4216	MAP3K4	mitogen-activated protein kinase kinase kinase 4	Myeloid	3291	3.39
235421_at	UNQ2119	LL:1326	MAP3K8	mitogen-activated protein kinase kinase kinase 8	Multiple	3623	4.14
206296_x_at	UNQ12194	LL:11184	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1	Lymphocyte	2060	20.6
229846_s_at	UNQ16770	LL:79109	MAPKAP1	mitogen-activated protein kinase associated protein 1	Multiple	2591	3.5
201670_s_at	UNQ7990	LL:4082	MARCKS	myristoylated alanine-rich protein kinase C substrate	Myeloid	7491	5.1
201668_x_at	UNQ7990	LL:4082	MARCKS	myristoylated alanine-rich protein kinase C substrate	Myeloid	5371	12.21
213002_at	UNQ7990	LL:4082	MARCKS	myristoylated alanine-rich protein kinase C substrate	Multiple	2487	3.48
202484_s_at	UNQ7188	LL:8932	MBD2	methyl-CpG binding domain protein 2	Multiple	5850	5.04
209579_s_at	UNQ14534	LL:8930	MBD4	methyl-CpG binding domain protein 4	Multiple	3803	3.4
227833_s_at	UNQ17092	LL:114785	MBD6	methyl-CpG binding domain protein 6	Myeloid	5131	3.76
201152_s_at	UNQ8120	LL:4154	MBNL1	muscleblind-like (Drosophila)	Multiple	9886	3.45
201151_s_at	UNQ8120	LL:4154	MBNL1	muscleblind-like (Drosophila)	Multiple	2995	7.05
210136_at	UNQ7340	LL:4155	MBP	myelin basic protein	Multiple	9897	9.7
225407_at	UNQ7340	LL:4155	MBP	myelin basic protein	Multiple	9599	4.75
